listing_id,description,room_type,formatted_description,formatted_room_type
13298512,"Large Bedroom in Clinton Hill/Bed-Stuy, Brooklyn!",Private room,"Large Bedroom in Clinton Hill/Bed-Stuy, Brooklyn!",private room
13298526,AC room in a Huge Lux Greenpoint Loft,Private room,AC room in a Huge Lux Greenpoint Loft,private room
13299532,Cozy 2 bedroom APT in the heart of Bushwick,Entire home/apt,Cozy 2 bedroom APT in the heart of Bushwick,entire home/apt
13299818,Spacious & bright 1 BDR in Gramercy,entire home/apt,Spacious & bright 1 BDR in Gramercy,entire home/apt
13300059,Quiet Home Base for Exploring an Exciting City!,entire home/apt,Quiet Home Base for Exploring an Exciting City!,entire home/apt
13300645,"NYCT02-2 LES Newly renovated Rm, NYU, Soho, AC",Private room,"NYCT02-2 LES Newly renovated Rm, NYU, Soho, AC",private room
13307480,Peaches Bungalow,Entire home/apt,Peaches Bungalow,entire home/apt
13308110,Sunny & Spacious 1bdrm apt,Entire home/apt,Sunny & Spacious 1bdrm apt,entire home/apt
13309763,Large SOHO Artist Loft,Entire home/apt,Large SOHO Artist Loft,entire home/apt
13310836,Between Northern Blvd. and Main Street.,private room,Between Northern Blvd. and Main Street.,private room
13311392,420 friendly COZY BRICK EXPOSED PVT RM,Private room,420 friendly COZY BRICK EXPOSED PVT RM,private room
13313377,"NYCT02-1 Canal St, Tribeca, Soho, LES, NYU",Private room,"NYCT02-1 Canal St, Tribeca, Soho, LES, NYU",private room
13315551,Charming Private Flat,Entire home/apt,Charming Private Flat,entire home/apt
13315967,Authentic Industrial Loft with 35ft ceilings.,Entire home/apt,Authentic Industrial Loft with 35ft ceilings.,entire home/apt
13325664,"2 bed, 2 bath, roof deck artsy gem in East Village",Entire home/apt,"2 bed, 2 bath, roof deck artsy gem in East Village",entire home/apt
13325767,Cozy Room In Brooklyn,private room,Cozy Room In Brooklyn,private room
13326731,Cozy room with Queen bed in spacious loft.,Private room,Cozy room with Queen bed in spacious loft.,private room
13327345,Full size bed in Petite room with exposed brick.,Private room,Full size bed in Petite room with exposed brick.,private room
13328405,NEW RENOVATION 16min from TIMES SQUARE,private room,NEW RENOVATION 16min from TIMES SQUARE,private room
13330683,NYC From Astoria Queens,Private room,NYC From Astoria Queens,private room
13332859,Spacious & Quiet Brooklyn Carriage House,Entire home/apt,Spacious & Quiet Brooklyn Carriage House,entire home/apt
13333542,Beautifully Designed Island Style Garden Suite,entire home/apt,Beautifully Designed Island Style Garden Suite,entire home/apt
13333699,Artist Charming Modern Ft Greene Park 2 floor apt,Entire home/apt,Artist Charming Modern Ft Greene Park 2 floor apt,entire home/apt
13335424,"i call it home, you'll call it home.",private room,"i call it home, you'll call it home.",private room
13337150,"Luxury Room (rm4), 5 mins from Columbia",Private room,"Luxury Room (rm4), 5 mins from Columbia",private room
13341955,MODERN & CONTEMPORARY STUDIO,Entire home/apt,MODERN & CONTEMPORARY STUDIO,entire home/apt
13343199,Midwood Street Limestone,Entire home/apt,Midwood Street Limestone,entire home/apt
13346741,Great location big one bedroom on the UWS,ENTIRE HOME/APT,Great location big one bedroom on the UWS,entire home/apt
13348000,"Home*Sweet*Home
Quiet neighborhood",Entire home/apt,"Home*Sweet*Home
Quiet neighborhood",entire home/apt
13355002,Newly renovated apt w/parking space,Entire home/apt,Newly renovated apt w/parking space,entire home/apt
13358265,Full 1 Bedroom Apartment in heart of UWS,ENTIRE HOME/APT,Full 1 Bedroom Apartment in heart of UWS,entire home/apt
13359578,Sun-filled spacious one bedroom in West Village,ENTIRE HOME/APT,Sun-filled spacious one bedroom in West Village,entire home/apt
13359647,Budget Room in large apartment (Solo Travelers+),Private room,Budget Room in large apartment (Solo Travelers+),private room
13359798,large 1 bedroom apt with private balcony Astoria,Entire home/apt,large 1 bedroom apt with private balcony Astoria,entire home/apt
13361613,Bright Architectural Oasis w/Chef’s Kitchen #10305,Entire home/apt,Bright Architectural Oasis w/Chef’s Kitchen #10305,entire home/apt
13361785,"Bridge View, Designer Brick & Timber Loft",entire home/apt,"Bridge View, Designer Brick & Timber Loft",entire home/apt
13371633,Charming & Spacious 1 BR; Steps to Brooklyn Museum,private room,Charming & Spacious 1 BR; Steps to Brooklyn Museum,private room
13371699,Beautiful Spacious Apartment near Prospect Park,Entire home/apt,Beautiful Spacious Apartment near Prospect Park,entire home/apt
13372847,Studio apartment in Cobble Hill,Entire home/apt,Studio apartment in Cobble Hill,entire home/apt
13373300,Sunny Apt in Historic Cobble Hill Brownstone,Entire home/apt,Sunny Apt in Historic Cobble Hill Brownstone,entire home/apt
13373898,Sunny Designer Gem for Families & Couples! #10304,Entire home/apt,Sunny Designer Gem for Families & Couples! #10304,entire home/apt
13375642,Huge sunny bedroom with private bathroom,Private room,Huge sunny bedroom with private bathroom,private room
13375898,"PERFECT LOCATION, 15 MINUTES TO MANHATTAN",Private room,"PERFECT LOCATION, 15 MINUTES TO MANHATTAN",private room
13376767,Sun-drenched corner apartment in East-Williamsburg,Entire home/apt,Sun-drenched corner apartment in East-Williamsburg,entire home/apt
13377893,Spacious Room in Bushwick,private room,Spacious Room in Bushwick,private room
13378177,Art-filled Mid-Century Modern Apartment,Entire home/apt,Art-filled Mid-Century Modern Apartment,entire home/apt
13378609,Experience New York from our place. (Free parking),Entire home/apt,Experience New York from our place. (Free parking),entire home/apt
13378820,Sunlit 3BR Urban Retreat & Parking near City &JFK,Entire home/apt,Sunlit 3BR Urban Retreat & Parking near City &JFK,entire home/apt
13379688,Harlem Charmer,PRIVATE ROOM,Harlem Charmer,private room
13380662,Entire Floor/1 Min from N Train/Private Entrance,Entire home/apt,Entire Floor/1 Min from N Train/Private Entrance,entire home/apt
13384425,Beautiful townhouse near Prospect Park,Entire home/apt,Beautiful townhouse near Prospect Park,entire home/apt
13386091,Modern 3bd close to everything,entire home/apt,Modern 3bd close to everything,entire home/apt
13388210,Midtown West Private Sublet - Best Value,entire home/apt,Midtown West Private Sublet - Best Value,entire home/apt
13388649,Spacious Private Home - 20m to Manhattan,Entire home/apt,Spacious Private Home - 20m to Manhattan,entire home/apt
13391165,"Gorgeous Room in EV, Private Patio, Open Kitchen!",Private room,"Gorgeous Room in EV, Private Patio, Open Kitchen!",private room
13392858,A Small Kingdom in the Clouds,entire home/apt,A Small Kingdom in the Clouds,entire home/apt
13394558,MY ADORABLE BOWERY PLACE,Entire home/apt,MY ADORABLE BOWERY PLACE,entire home/apt
13394748,Cozy Spacious Double Bed #2A Near JFK & J Train,Private room,Cozy Spacious Double Bed #2A Near JFK & J Train,private room
13395329,Garden Flat Next to Central Park w/ Large Terrace,Private room,Garden Flat Next to Central Park w/ Large Terrace,private room
13395513,Entire apartment in the heart of SOHO,Entire home/apt,Entire apartment in the heart of SOHO,entire home/apt
13396969,"1 Bedroom apartment, heart of LES",Entire home/apt,"1 Bedroom apartment, heart of LES",entire home/apt
13398340,Historic Townhouse Apartment with Garden Oasis,entire home/apt,Historic Townhouse Apartment with Garden Oasis,entire home/apt
13398348,Your Own Apartment corner of Bedford and Grand!,ENTIRE HOME/APT,Your Own Apartment corner of Bedford and Grand!,entire home/apt
13406622,CHELSEA 3 BEDROOM APARTMENT WITH PRIVATE GARDEN!!!,entire home/apt,CHELSEA 3 BEDROOM APARTMENT WITH PRIVATE GARDEN!!!,entire home/apt
13407354,COZY 1BR IN MIDTOWN EAST!,entire home/apt,COZY 1BR IN MIDTOWN EAST!,entire home/apt
13407615,Lovely Apt. in Heart of Brooklyn,Private room,Lovely Apt. in Heart of Brooklyn,private room
13408222,Remsen Village Rental II,Entire home/apt,Remsen Village Rental II,entire home/apt
13410813,1 br apartment(3’ to train)+access to coworking,ENTIRE HOME/APT,1 br apartment(3’ to train)+access to coworking,entire home/apt
13417071,Sunny 1 bd  apartment - Historic Brownstone Apt #2,Entire home/apt,Sunny 1 bd apartment - Historic Brownstone Apt #2,entire home/apt
13417080,"Private Room, 2 beds, bath, Union Square location",Private room,"Private Room, 2 beds, bath, Union Square location",private room
13417410,Zions Destiny Home away from Home !,entire home/apt,Zions Destiny Home away from Home !,entire home/apt
13418942,A Touch of Modern in Cultural NYC,private room,A Touch of Modern in Cultural NYC,private room
13422992,Gorgeous Lower East Side Walk Up & Roof,Private room,Gorgeous Lower East Side Walk Up & Roof,private room
13427412,Stunning 1 Bedroom Apartment. 8 minutes to Ferry,ENTIRE HOME/APT,Stunning 1 Bedroom Apartment. 8 minutes to Ferry,entire home/apt
13427658,Comfortable room 15 minutes to Manhattan,Private room,Comfortable room 15 minutes to Manhattan,private room
13430458,Fun & Funky 2nd floor of loft.,Private room,Fun & Funky 2nd floor of loft.,private room
13431664,Private Condo Room w/ Patio,PRIVATE ROOM,Private Condo Room w/ Patio,private room
13431961,Amazing Brownstone Studio @ Central Park West,Entire home/apt,Amazing Brownstone Studio @ Central Park West,entire home/apt
13433027,Holistic Health Stay New York,Entire home/apt,Holistic Health Stay New York,entire home/apt
13434959,1 Bd  10 mins to Manhattan  Steps to Prospect Park,Entire home/apt,1 Bd 10 mins to Manhattan Steps to Prospect Park,entire home/apt
13435688,❤ of Manhattan | Fantastic 1 Bedroom,Entire home/apt,❤ of Manhattan | Fantastic 1 Bedroom,entire home/apt
13436132,Bright studio in the heart of the east village,Entire home/apt,Bright studio in the heart of the east village,entire home/apt
13436258,One Bedroom Apartment  in TownHouse,Entire home/apt,One Bedroom Apartment in TownHouse,entire home/apt
13444818,2 beds PH balcony & rooftop close to Manhattan,Entire home/apt,2 beds PH balcony & rooftop close to Manhattan,entire home/apt
13446124,Cozy front room in a 2 bedroom family apt near CU,PRIVATE ROOM,Cozy front room in a 2 bedroom family apt near CU,private room
13451786,Large comfy bright bedroom near sub,Private room,Large comfy bright bedroom near sub,private room
13453023,"King Bed, Super Host, Near Central/Riverside Parks",Private room,"King Bed, Super Host, Near Central/Riverside Parks",private room
13453271,"NEAR CENTRAL PARK, TIMES SQUARE, COLUMBIA UNIV.",private room,"NEAR CENTRAL PARK, TIMES SQUARE, COLUMBIA UNIV.",private room
13459691,Private Bedroom in Williamsburg!,Private room,Private Bedroom in Williamsburg!,private room
13459841,Sunny Williamsburg w Balcony - Long Term Rental,Entire home/apt,Sunny Williamsburg w Balcony - Long Term Rental,entire home/apt
13460498,Beautiful Brownstone Parlor Floor Apartment,Entire home/apt,Beautiful Brownstone Parlor Floor Apartment,entire home/apt
13463768,"Spacious, Affordable 1BR Apartment in Brooklyn",Entire home/apt,"Spacious, Affordable 1BR Apartment in Brooklyn",entire home/apt
13465546,Comfortable 2 BR in East Village/Cooper Square,entire home/apt,Comfortable 2 BR in East Village/Cooper Square,entire home/apt
13466302,Very central loft-like apartment on UWS,Entire home/apt,Very central loft-like apartment on UWS,entire home/apt
13466842,"3bd apt w/yard in Astoria, 10 mins from Manhattan.",Entire home/apt,"3bd apt w/yard in Astoria, 10 mins from Manhattan.",entire home/apt
13467270,Sunnyside Modern Apartment that sleeps 4 people.,Entire home/apt,Sunnyside Modern Apartment that sleeps 4 people.,entire home/apt
13467511,Modern 1-Bedroom Duplex Apartment in New York City,Entire home/apt,Modern 1-Bedroom Duplex Apartment in New York City,entire home/apt
13468830,Brooklyn palace,Entire home/apt,Brooklyn palace,entire home/apt
13474455,Blueberries & Cream - Cozy 1 Bedroom Apt. #2,Entire home/apt,Blueberries & Cream - Cozy 1 Bedroom Apt. #2,entire home/apt
13475688,private entrance mini apt! part of my home,Entire home/apt,private entrance mini apt! part of my home,entire home/apt
13477118,Artistic Escape in Brooklyn,ENTIRE HOME/APT,Artistic Escape in Brooklyn,entire home/apt
13477342,"Historical Sugar Hill, West Harlem",Private room,"Historical Sugar Hill, West Harlem",private room
13478244,Art-filled bright spacious 1 bedrm W'burg + deck,entire home/apt,Art-filled bright spacious 1 bedrm W'burg + deck,entire home/apt
13486730,Large private bedroom in West Soho/West Village,PRIVATE ROOM,Large private bedroom in West Soho/West Village,private room
13488308,Spacious & Cosy 1BR apt in Gramercy with balcony!,entire home/apt,Spacious & Cosy 1BR apt in Gramercy with balcony!,entire home/apt
13489789,Roses Room - 10 mins to Williamsburg/LES/City,Private room,Roses Room - 10 mins to Williamsburg/LES/City,private room
13490175,AMAZING VIEW ENTIRE apt 10mins to midtown,entire home/apt,AMAZING VIEW ENTIRE apt 10mins to midtown,entire home/apt
13491503,"Airy, Private, Spacious + Accessible",entire home/apt,"Airy, Private, Spacious + Accessible",entire home/apt
13493546,"Grand private apt with deck, one block to subway",Entire home/apt,"Grand private apt with deck, one block to subway",entire home/apt
13494095,STUDIO LowerManhattan this week!,Entire home/apt,STUDIO LowerManhattan this week!,entire home/apt
13494532,"*Cozy apt Manhattan,Near Central Park !*",Private room,"*Cozy apt Manhattan,Near Central Park !*",private room
13495012,World Trade Center Delight,Entire home/apt,World Trade Center Delight,entire home/apt
13495558,Bright apartment in Soho with roof access,Entire home/apt,Bright apartment in Soho with roof access,entire home/apt
13495754,"Peaceful, Light-filled Room - Greenpoint, BK",Private room,"Peaceful, Light-filled Room - Greenpoint, BK",private room
13496318,Amazing Park Slope Duplex plus Finished Basement.,Entire home/apt,Amazing Park Slope Duplex plus Finished Basement.,entire home/apt
13498392,"Spacious, Bright, Private NYC",Private room,"Spacious, Bright, Private NYC",private room
13503970,"Large, sunny, airy, spacious bdrm.",Private room,"Large, sunny, airy, spacious bdrm.",private room
13505542,Cozy Room 1 Block from the Train,PRIVATE ROOM,Cozy Room 1 Block from the Train,private room
13507377,"Sunny Apartment in Park Slope, Brooklyn",Entire home/apt,"Sunny Apartment in Park Slope, Brooklyn",entire home/apt
13511359,visit nyc and live like a local,Private room,visit nyc and live like a local,private room
