listing_id,description,room_type,formatted_description,formatted_room_type
24021725,Deluxe East Village Apartment: 2 Bed - 2 Bath,ENTIRE HOME/APT,Deluxe East Village Apartment: 2 Bed - 2 Bath,entire home/apt
24022413,New penthouse with Manhattan and park views!,Private room,New penthouse with Manhattan and park views!,private room
24024322,"Luxury KING 2br, Airports & Times SQ minutes away",entire home/apt,"Luxury KING 2br, Airports & Times SQ minutes away",entire home/apt
24024456,"Convenience & Luxury, City andAirport minutes away",Entire home/apt,"Convenience & Luxury, City andAirport minutes away",entire home/apt
24024496,1 Bedroom+Piano Studio Manhattan Near Central Park,Entire home/apt,1 Bedroom+Piano Studio Manhattan Near Central Park,entire home/apt
24024721,JFK Queens Home Away From Home House Of Suedajoy 2,Private room,JFK Queens Home Away From Home House Of Suedajoy 2,private room
24033132,Wonderfully cozy studio on Waverly w/nice backyard,Entire home/apt,Wonderfully cozy studio on Waverly w/nice backyard,entire home/apt
24034429,Oasis in East Village,Entire home/apt,Oasis in East Village,entire home/apt
24034853,Spacious Bedroom in Prime Brooklyn Location,Private room,Spacious Bedroom in Prime Brooklyn Location,private room
24034953,Room in Minimalist Brooklyn Loft (Fort Greene),PRIVATE ROOM,Room in Minimalist Brooklyn Loft (Fort Greene),private room
24034969,Harlem Charm in a Convenient Location.,Private room,Harlem Charm in a Convenient Location.,private room
24037479,Quiet 1Bed Studio in heart of East Village,ENTIRE HOME/APT,Quiet 1Bed Studio in heart of East Village,entire home/apt
24038323,Dreamy Williamsburg Bedroom with Private Terrace,private room,Dreamy Williamsburg Bedroom with Private Terrace,private room
24039069,Lovely apartment in  affluent area of Manhattan,ENTIRE HOME/APT,Lovely apartment in affluent area of Manhattan,entire home/apt
24039582,BedSTUY SupperCLUB,PRIVATE ROOM,BedSTUY SupperCLUB,private room
24039926,very cozy private bedroom within a 2 bedroom flat,private room,very cozy private bedroom within a 2 bedroom flat,private room
24040279,Cozy and bright bedroom in South Williamsburg,Private room,Cozy and bright bedroom in South Williamsburg,private room
24041042,"Architect Loft,  btw Soho & Tribeca, Private Roof",ENTIRE HOME/APT,"Architect Loft, btw Soho & Tribeca, Private Roof",entire home/apt
24041631,Beautiful sunny BR in fully renovated apartment !!,Private room,Beautiful sunny BR in fully renovated apartment !!,private room
24041916,New One Bedroom 15-20 Min. From NYC! Close to all!,Entire home/apt,New One Bedroom 15-20 Min. From NYC! Close to all!,entire home/apt
24042332,Beautiful sunlit spacious loft-like pvt. bedroom!,private room,Beautiful sunlit spacious loft-like pvt. bedroom!,private room
24042606,Modern sunlit apartment in the heart of Bushwick,Private room,Modern sunlit apartment in the heart of Bushwick,private room
24042844,"LOVE MANHATTAN 2
NEAR TO YANKE STADIUM",Private room,"LOVE MANHATTAN 2
NEAR TO YANKE STADIUM",private room
24043603,Experience Brownstone Living in Brooklyn!,Entire home/apt,Experience Brownstone Living in Brooklyn!,entire home/apt
24044039,Vicky客栈1,private room,Vicky客栈1,private room
24044352,"Cozy, Quiet and Spacious Apt in Astoria",Entire home/apt,"Cozy, Quiet and Spacious Apt in Astoria",entire home/apt
24046484,Rocco's Pad,Private room,Rocco's Pad,private room
24056066,Amazing apartment with Balcony ! GREAT LOCATION!,Entire home/apt,Amazing apartment with Balcony ! GREAT LOCATION!,entire home/apt
24057278,Flushing Main st 7 train luxurious apartment,Entire home/apt,Flushing Main st 7 train luxurious apartment,entire home/apt
24057583,Beautiful Studio Apt,ENTIRE HOME/APT,Beautiful Studio Apt,entire home/apt
24060140,EAST VILLAGE STUDIO APT WITH COURTYARD,Entire home/apt,EAST VILLAGE STUDIO APT WITH COURTYARD,entire home/apt
24062062,Brooklyn loft with Manhattan skyline view,Entire home/apt,Brooklyn loft with Manhattan skyline view,entire home/apt
24065326,Bright 1 Bed w/Lrg Private Balcony in Williamsburg,Entire home/apt,Bright 1 Bed w/Lrg Private Balcony in Williamsburg,entire home/apt
24065408,Private Room in Spacious Apartment with Patio!,private room,Private Room in Spacious Apartment with Patio!,private room
24066280,"Overnight Crash Couch 12minNY, 10minLGA/30minJFK",shared room,"Overnight Crash Couch 12minNY, 10minLGA/30minJFK",shared room
24075850,Cozy private room in Times Square/Rockefeller,Private room,Cozy private room in Times Square/Rockefeller,private room
24077483,Heaven in Hell’s Kitchen,Private room,Heaven in Hell’s Kitchen,private room
24077570,Spacious Brooklyn Apartment w/ private backyard,Entire home/apt,Spacious Brooklyn Apartment w/ private backyard,entire home/apt
24078552,Spacious 2 bed/ 1bath w/ outdoor space (sleeps 8),Entire home/apt,Spacious 2 bed/ 1bath w/ outdoor space (sleeps 8),entire home/apt
24078852,"ART apt: QUIET, charming, GEM in GREENWICH VILLAGE",Entire home/apt,"ART apt: QUIET, charming, GEM in GREENWICH VILLAGE",entire home/apt
24080143,"Beautiful Private Room near Highline, and Train",Private room,"Beautiful Private Room near Highline, and Train",private room
24080464,HUGE Luxury Upper East Side 1 Bedroom—Roof Access,Entire home/apt,HUGE Luxury Upper East Side 1 Bedroom—Roof Access,entire home/apt
24082591,Haven In The Heights - Huge Manhattan 2BR 2 Bath!,Entire home/apt,Haven In The Heights - Huge Manhattan 2BR 2 Bath!,entire home/apt
24083340,Your Dream 1 bed Apartment in the heart of SoHo,Entire home/apt,Your Dream 1 bed Apartment in the heart of SoHo,entire home/apt
24085451,Elegant and Comfortable Home Away from Home in UES,Private room,Elegant and Comfortable Home Away from Home in UES,private room
24086457,HUGE 3500 sf 3 bed/3 bth Loft in SoHo/Little Italy,Entire home/apt,HUGE 3500 sf 3 bed/3 bth Loft in SoHo/Little Italy,entire home/apt
24086562,Harlem Sanctuary,Private room,Harlem Sanctuary,private room
24086704,"The Photographer Room in Private Home, Near Metro",PRIVATE ROOM,"The Photographer Room in Private Home, Near Metro",private room
24089034,Beautiful Spacious  Studio Apartment,Entire home/apt,Beautiful Spacious Studio Apartment,entire home/apt
24095408,"Spacious Williamsburg, Brooklyn Spare Room",private room,"Spacious Williamsburg, Brooklyn Spare Room",private room
24098320,PRIVATE BEDROOM IN BRAND NEW CONDO IN BED STUY,Private room,PRIVATE BEDROOM IN BRAND NEW CONDO IN BED STUY,private room
24099108,Brooklyn Stay Inn TH,ENTIRE HOME/APT,Brooklyn Stay Inn TH,entire home/apt
24099296,Beautiful 3 BR Midtown East! Clean & Chic!!,Entire home/apt,Beautiful 3 BR Midtown East! Clean & Chic!!,entire home/apt
24100492,3BR Chic & Beautiful NYC Apartment,Entire home/apt,3BR Chic & Beautiful NYC Apartment,entire home/apt
24101160,Gorgeous 3BR Penthouse Murray Hill,Entire home/apt,Gorgeous 3BR Penthouse Murray Hill,entire home/apt
24103428,The Halsey Brownstone Inn,ENTIRE HOME/APT,The Halsey Brownstone Inn,entire home/apt
24104871,"Cozy Art Private Bedroom-Hamilton Heights, NY",Private room,"Cozy Art Private Bedroom-Hamilton Heights, NY",private room
24105640,"Tranquil private bedroom, Hamilton Heights, NY",Private room,"Tranquil private bedroom, Hamilton Heights, NY",private room
24115364,Modern Room in historic Harlem,Private room,Modern Room in historic Harlem,private room
24115562,NYC TOP CHOICE RMS located close to pub transport,private room,NYC TOP CHOICE RMS located close to pub transport,private room
24116050,Amazing room in super warm apt in prime Bushwick !,Private room,Amazing room in super warm apt in prime Bushwick !,private room
24116969,"Paradise - comfortable, spacious loft apartment",Entire home/apt,"Paradise - comfortable, spacious loft apartment",entire home/apt
24117055,Enjoy a beautiful room in this bohemian duplex,Private room,Enjoy a beautiful room in this bohemian duplex,private room
24118031,✔ Home Away From Home ✔ 100Mbps ✔ Transit Score 99,Entire home/apt,✔ Home Away From Home ✔ 100Mbps ✔ Transit Score 99,entire home/apt
24119086,Private clean room complementary coffee Manhattan,Private room,Private clean room complementary coffee Manhattan,private room
24119876,*Large 3 bedroom getaway* Pre Summer discounts,ENTIRE HOME/APT,*Large 3 bedroom getaway* Pre Summer discounts,entire home/apt
24121036,Woody's Larger Bedroom,PRIVATE ROOM,Woody's Larger Bedroom,private room
24121842,Woody's Smaller Bedroom,private room,Woody's Smaller Bedroom,private room
24121885,Cozy Private Bedroom Upper East Side,Private room,Cozy Private Bedroom Upper East Side,private room
24122599,Cozy room in a Victorian house in Central Brooklyn,PRIVATE ROOM,Cozy room in a Victorian house in Central Brooklyn,private room
24122725,Ivoire Realty(Bronx maison avec vue),PRIVATE ROOM,Ivoire Realty(Bronx maison avec vue),private room
24122836,Cozy Private Room in Flushing 法拉盛中心單人房间,PRIVATE ROOM,Cozy Private Room in Flushing 法拉盛中心單人房间,private room
24129287,Sunny Private Bushwick Bedroom,private room,Sunny Private Bushwick Bedroom,private room
24131620,Luxury One Bedroom Apartment in Financial District,ENTIRE HOME/APT,Luxury One Bedroom Apartment in Financial District,entire home/apt
24131689,Classical Upper West Side Experience,Entire home/apt,Classical Upper West Side Experience,entire home/apt
24131817,Modern & Spacious 1br East Village Apartment,private room,Modern & Spacious 1br East Village Apartment,private room
24133244,Beautiful New York City Midtown Cozy Apartment,Entire home/apt,Beautiful New York City Midtown Cozy Apartment,entire home/apt
24135740,"4 Bed, 2 Bath Apt in East Village-Garden Duplex",ENTIRE HOME/APT,"4 Bed, 2 Bath Apt in East Village-Garden Duplex",entire home/apt
24136557,"2 Bedroom, 1 Bath Apartment in East Village- Sol",Entire home/apt,"2 Bedroom, 1 Bath Apartment in East Village- Sol",entire home/apt
24136740,"3 Bedroom, 2 Bath Apt in East Village- Penthouse",ENTIRE HOME/APT,"3 Bedroom, 2 Bath Apt in East Village- Penthouse",entire home/apt
24139165,"Best Williamsburg, Brooklyn NY- 30 days or more",entire home/apt,"Best Williamsburg, Brooklyn NY- 30 days or more",entire home/apt
24140119,"Cozy space with privacy near JFK, CASINO & NYC",Private room,"Cozy space with privacy near JFK, CASINO & NYC",private room
24149436,Spacious Studio with a Big Balcony,Entire home/apt,Spacious Studio with a Big Balcony,entire home/apt
24153494,Quiet Ground Floor Bedroom in Midtown West,private room,Quiet Ground Floor Bedroom in Midtown West,private room
24154729,Sunny Brooklyn Artist's Apartment,Entire home/apt,Sunny Brooklyn Artist's Apartment,entire home/apt
24156857,BEAUTIFULLY DESIGNED 2BD Brooklyn Apt +GREAT VIEWS,Entire home/apt,BEAUTIFULLY DESIGNED 2BD Brooklyn Apt +GREAT VIEWS,entire home/apt
24157013,Cozy Brooklyn Designer Apartment,ENTIRE HOME/APT,Cozy Brooklyn Designer Apartment,entire home/apt
24158806,An Art Decor Inspired Urban Oasis,Entire home/apt,An Art Decor Inspired Urban Oasis,entire home/apt
24158816,Cozy Modern Loft with Fireplace in West Village,Entire home/apt,Cozy Modern Loft with Fireplace in West Village,entire home/apt
24160395,Brooklyn Penthouse With Manhattan Views,Entire home/apt,Brooklyn Penthouse With Manhattan Views,entire home/apt
24162064,Heart of Midtown Manhattan,Entire home/apt,Heart of Midtown Manhattan,entire home/apt
24162261,Spacious 1st floor apartment.,Entire home/apt,Spacious 1st floor apartment.,entire home/apt
24162615,"LARGE COZY BASEMENT, FLUSHING QUEENS",PRIVATE ROOM,"LARGE COZY BASEMENT, FLUSHING QUEENS",private room
24162681,Bedstuy Cozy Go Green,PRIVATE ROOM,Bedstuy Cozy Go Green,private room
24164956,Cozy 1 Bedroom Apt~Midtown-East Manhattan NYC!,Entire home/apt,Cozy 1 Bedroom Apt~Midtown-East Manhattan NYC!,entire home/apt
24166066,You will LOVE my studio in West Village.,Entire home/apt,You will LOVE my studio in West Village.,entire home/apt
24169179,NEW!!  Private room in the heart of Brooklyn,private room,NEW!! Private room in the heart of Brooklyn,private room
24171777,Luxury Triplex with Roofdeck,Entire home/apt,Luxury Triplex with Roofdeck,entire home/apt
24177822,**Budget Private Room w/Private backyard,PRIVATE ROOM,**Budget Private Room w/Private backyard,private room
24178083,Charming mezzanine bedroom near Prospect Park,Private room,Charming mezzanine bedroom near Prospect Park,private room
24178481,Bed-Stuy Grove,private room,Bed-Stuy Grove,private room
24179288,**Amazing Private Room 20 min to manhattan,private room,**Amazing Private Room 20 min to manhattan,private room
24179556,**Captivating Private Budget Room,private room,**Captivating Private Budget Room,private room
24181763,"Private Room in Bklyn, 1 min to J, Free Breakfast",Private room,"Private Room in Bklyn, 1 min to J, Free Breakfast",private room
24181925,Family Room in Bed-Stuy,private room,Family Room in Bed-Stuy,private room
24182137,Wyndham Midtown 45 (2 Bedroom Presidential) 1A,Entire home/apt,Wyndham Midtown 45 (2 Bedroom Presidential) 1A,entire home/apt
24184615,"Private room in cozy apartment, Fort Greene",Private room,"Private room in cozy apartment, Fort Greene",private room
24186326,"5 Star Quiet, Spacious Condo. Freedom Tower view",Entire home/apt,"5 Star Quiet, Spacious Condo. Freedom Tower view",entire home/apt
24186775,"Huge, Clean Brooklyn Room with lots of light",Private room,"Huge, Clean Brooklyn Room with lots of light",private room
24187794,Renovated 1 BDR Apt~ Heart of Midtown Manhattan ❤️,Entire home/apt,Renovated 1 BDR Apt~ Heart of Midtown Manhattan ❤️,entire home/apt
24188354,"Large studio in Williamsburg, 2B",Entire home/apt,"Large studio in Williamsburg, 2B",entire home/apt
24194478,Williamsburg loft just 20 mins from manhattan!!!,Private room,Williamsburg loft just 20 mins from manhattan!!!,private room
24199249,Beautiful East Village Room Open For You!,Private room,Beautiful East Village Room Open For You!,private room
24200751,2BR 3BD 1.5BA | Rooftop & Balcony | Airport PickUp,Entire home/apt,2BR 3BD 1.5BA | Rooftop & Balcony | Airport PickUp,entire home/apt
24201129,Bright & Cozy Studio in PRIME Flatiron/Chelsea,Entire home/apt,Bright & Cozy Studio in PRIME Flatiron/Chelsea,entire home/apt
24202365,Private  room in Manhattan NYC. Train a min away!,Private room,Private room in Manhattan NYC. Train a min away!,private room
24203680,Entire Newly Renovated Sugar Hill Apt,Entire home/apt,Entire Newly Renovated Sugar Hill Apt,entire home/apt
24204269,Big Sunny Room 1 Block from Central Park,Private room,Big Sunny Room 1 Block from Central Park,private room
24204338,Private Cozy Room on Manhattan,Private room,Private Cozy Room on Manhattan,private room
24204341,Sunny Brooklyn Home Away From Home,private room,Sunny Brooklyn Home Away From Home,private room
24205303,Spacious 1 bedroom in the clouds with river views,Entire home/apt,Spacious 1 bedroom in the clouds with river views,entire home/apt
24205351,Wyndham Midtown 45 (2 Bedroom Presidential) 8A,Entire home/apt,Wyndham Midtown 45 (2 Bedroom Presidential) 8A,entire home/apt
24206202,Exquisite Park Slope Brownstone Apartment,ENTIRE HOME/APT,Exquisite Park Slope Brownstone Apartment,entire home/apt
24207804,"NYC room-cozy, basic, clean, cheap & close to all",Shared room,"NYC room-cozy, basic, clean, cheap & close to all",shared room
24207931,Modern Prospect Park 3 bedroom Jewel,Entire home/apt,Modern Prospect Park 3 bedroom Jewel,entire home/apt
24208472,Two room suite 1min from subway 20min to Manhattan,Private room,Two room suite 1min from subway 20min to Manhattan,private room
24210296,Private bedroom in Downtown Manhattan,PRIVATE ROOM,Private bedroom in Downtown Manhattan,private room
24210400,Large Gorgeous BR in Artist Loft - BEST Location!!,private room,Large Gorgeous BR in Artist Loft - BEST Location!!,private room
24217712,Diamond in the Art of Bushwick 1 block to M Subway,Private room,Diamond in the Art of Bushwick 1 block to M Subway,private room
24222051,AMAZING CITY VIEWS! New Jersey 15 min Times Square,Entire home/apt,AMAZING CITY VIEWS! New Jersey 15 min Times Square,entire home/apt
24223406,**Enormous Budget Private Room,Private room,**Enormous Budget Private Room,private room
24223602,Prospect Heights Paradise,entire home/apt,Prospect Heights Paradise,entire home/apt
24226175,Bright apt w Balcony in the heart of williamsburg,ENTIRE HOME/APT,Bright apt w Balcony in the heart of williamsburg,entire home/apt
24226528,Private Bedroom w/ Private Entrance-Williamsburg!,Private room,Private Bedroom w/ Private Entrance-Williamsburg!,private room
24226842,Luxury High Floor Studio with stunning view,Entire home/apt,Luxury High Floor Studio with stunning view,entire home/apt
24226955,Spectacular 1-Bedroom modern apartment in Flatiron,Entire home/apt,Spectacular 1-Bedroom modern apartment in Flatiron,entire home/apt
24230067,"Beautiful 1 bed, UES - steps from Central Park!",entire home/apt,"Beautiful 1 bed, UES - steps from Central Park!",entire home/apt
24230182,Brand-new Room - 20 mins to Manhattan,Private room,Brand-new Room - 20 mins to Manhattan,private room
24232076,Amazing cozy studio Lower East Side/Soho/Nolita!,ENTIRE HOME/APT,Amazing cozy studio Lower East Side/Soho/Nolita!,entire home/apt
24232645,"LUXURY APARTMENT, 5 MIN SUB INTO MANHATTAN",entire home/apt,"LUXURY APARTMENT, 5 MIN SUB INTO MANHATTAN",entire home/apt
24242153,Private apartment in ♡ of Williamsburg,Entire home/apt,Private apartment in ♡ of Williamsburg,entire home/apt
24244796,ARTIST LOFT ON HISTORIC TRENDY BLOCK IN SOHO,Entire home/apt,ARTIST LOFT ON HISTORIC TRENDY BLOCK IN SOHO,entire home/apt
24245265,Cozy Room For Two/ Steps to Train/Coffee included!,private room,Cozy Room For Two/ Steps to Train/Coffee included!,private room
24246039,Central Park West Duplex,Entire home/apt,Central Park West Duplex,entire home/apt
24247367,Midway Home,Private room,Midway Home,private room
24250052,Private Room on NYC's Upper West Side,Private room,Private Room on NYC's Upper West Side,private room
24251237,West Village Private Flat AMAZING Location,ENTIRE HOME/APT,West Village Private Flat AMAZING Location,entire home/apt
24251311,Beautiful 1 BR Apt in the Heart of West Village!,Entire home/apt,Beautiful 1 BR Apt in the Heart of West Village!,entire home/apt
24258555,URBAN SPACE the Brooklyn Way!,entire home/apt,URBAN SPACE the Brooklyn Way!,entire home/apt
24258565,Stylish Nolita 1 Bedroom,ENTIRE HOME/APT,Stylish Nolita 1 Bedroom,entire home/apt
24260247,Ditmas Park Victorian Home,ENTIRE HOME/APT,Ditmas Park Victorian Home,entire home/apt
24260464,Garden room in a private house,Private room,Garden room in a private house,private room
24261171,Luxury Two-Story Loft in Clinton Hill/Bed-Stuy!,Entire home/apt,Luxury Two-Story Loft in Clinton Hill/Bed-Stuy!,entire home/apt
24264371,Comfy Private Room,Private room,Comfy Private Room,private room
24265177,Bright Renewed Apartment 1 minute from A express train,Private room,Bright Renewed Apartment 1 minute from A express train,private room
24265209,Cozy Apartment,entire home/apt,Cozy Apartment,entire home/apt
24265333,Prime Williamsburg location- Private bedrm & bath,Private room,Prime Williamsburg location- Private bedrm & bath,private room
24265776,Cozy Brooklyn Apartment room near  Manhattan,PRIVATE ROOM,Cozy Brooklyn Apartment room near Manhattan,private room
24266025,Private Room in The Heart of Manhattan,Private room,Private Room in The Heart of Manhattan,private room
24266063,Beautiful Contemporary Duplex w. Patio & Roofdeck,entire home/apt,Beautiful Contemporary Duplex w. Patio & Roofdeck,entire home/apt
24266273,Cozy Private Room in Downtown Flushing法拉盛中心私人房间,private room,Cozy Private Room in Downtown Flushing法拉盛中心私人房间,private room
24267208,Pulp Fiction private  room,Private room,Pulp Fiction private room,private room
24267506,The Godfather private  room,Private room,The Godfather private room,private room
24267706,entire sunshine of the spotless mind room,PRIVATE ROOM,entire sunshine of the spotless mind room,private room
24269100,Sunny Bedroom with Private Bathroom/法拉盛中心私人房間獨立衛浴,PRIVATE ROOM,Sunny Bedroom with Private Bathroom/法拉盛中心私人房間獨立衛浴,private room
24276183,** Foodies LOVE This Neighborhood?=>Authentic!!!,Entire home/apt,** Foodies LOVE This Neighborhood?=>Authentic!!!,entire home/apt
24276835,Brooklyn Flat in prime Carroll Gardens (Room),Private room,Brooklyn Flat in prime Carroll Gardens (Room),private room
24278899,Fantastic studio in Chinatown/Lower East side,Entire home/apt,Fantastic studio in Chinatown/Lower East side,entire home/apt
24279693,THE BROOKLYN BLUE HOUSE 1.,Private room,THE BROOKLYN BLUE HOUSE 1.,private room
24279771,Gorgeous Times Square Flat!,entire home/apt,Gorgeous Times Square Flat!,entire home/apt
24281837,Beautiful one bedroom apartment center of Astoria,ENTIRE HOME/APT,Beautiful one bedroom apartment center of Astoria,entire home/apt
24282429,#Awesome 2 BR Flat Times Square!,entire home/apt,#Awesome 2 BR Flat Times Square!,entire home/apt
24283298,Luxury Modern Sunny 1BR (Clinton Hill - BedStuy),Entire home/apt,Luxury Modern Sunny 1BR (Clinton Hill - BedStuy),entire home/apt
24284744,Bright & Beautiful Studio in Columbus Circle/HK!,Entire home/apt,Bright & Beautiful Studio in Columbus Circle/HK!,entire home/apt
24285044,Peaceful Room in UWS + sweet pets!,Private room,Peaceful Room in UWS + sweet pets!,private room
24285110,Large 4 bedrooms close to train. 15 m.to Manhattan,Entire home/apt,Large 4 bedrooms close to train. 15 m.to Manhattan,entire home/apt
24285869,Charming humble hideaway in LES,Entire home/apt,Charming humble hideaway in LES,entire home/apt
24286512,Gowanus Pad,PRIVATE ROOM,Gowanus Pad,private room
24286518,Large Bright Apt Near Brooklyn's Prospect Park,Entire home/apt,Large Bright Apt Near Brooklyn's Prospect Park,entire home/apt
24286851,"Sunny West Village 1BR: amazing location, spacious",entire home/apt,"Sunny West Village 1BR: amazing location, spacious",entire home/apt
24287062,Sally's hideaway,Entire home/apt,Sally's hideaway,entire home/apt
24287261,Sweet Spot In Manhattan NYC!,Entire home/apt,Sweet Spot In Manhattan NYC!,entire home/apt
24287286,Spacious home next to JFK airport,Entire home/apt,Spacious home next to JFK airport,entire home/apt
24287367,Come Explore The Bronx And 30 Mins to Manhattan,Private room,Come Explore The Bronx And 30 Mins to Manhattan,private room
24287826,Superb Private Bedroom with Private Bath in UPS!,private room,Superb Private Bedroom with Private Bath in UPS!,private room
24287857,Astoria Centeral Location,Private room,Astoria Centeral Location,private room
24287863,In the heart of NYC...,private room,In the heart of NYC...,private room
24288869,Private Room+Beautiful Private Backyard Near City,Private room,Private Room+Beautiful Private Backyard Near City,private room
24289129,My Times Square Oasis,Entire home/apt,My Times Square Oasis,entire home/apt
24289567,Cozy room for easy traveler,Private room,Cozy room for easy traveler,private room
24300863,Tranquil Oasis in the Heart of Greenwich Village,entire home/apt,Tranquil Oasis in the Heart of Greenwich Village,entire home/apt
24304515,Sunny Studio in East Village,entire home/apt,Sunny Studio in East Village,entire home/apt
24304881,Bright Getaway Studio on the Hudson River,ENTIRE HOME/APT,Bright Getaway Studio on the Hudson River,entire home/apt
24305035,Bright and cozy apartment Williamsburg,entire home/apt,Bright and cozy apartment Williamsburg,entire home/apt
24305252,"The Architect’s Suite w/ Private Bath, Near Metro",Private room,"The Architect’s Suite w/ Private Bath, Near Metro",private room
24305977,"The Sailors Perch Room in Private Home, Near Metro",Private room,"The Sailors Perch Room in Private Home, Near Metro",private room
24306539,New Chic Designer's Bedroom,Private room,New Chic Designer's Bedroom,private room
24307110,Sunny Lower East Side Sanctuary,Entire home/apt,Sunny Lower East Side Sanctuary,entire home/apt
24307675,Luxury Apartment right on Union Square!,Entire home/apt,Luxury Apartment right on Union Square!,entire home/apt
24308589,Stunning Central Park 1 bedroom,Entire home/apt,Stunning Central Park 1 bedroom,entire home/apt
24308928,Richmond Hill 3 Bedroom apartment in Private home!,Entire home/apt,Richmond Hill 3 Bedroom apartment in Private home!,entire home/apt
24311790,Cozy Lower East Mainstay,Entire home/apt,Cozy Lower East Mainstay,entire home/apt
24312275,West Chelsea MINI,entire home/apt,West Chelsea MINI,entire home/apt
24312987,Sunny Loft in Williamsburg 20mins into Manhattan!!,Private room,Sunny Loft in Williamsburg 20mins into Manhattan!!,private room
24313236,Private bedroom in the heart of the UWS #1,private room,Private bedroom in the heart of the UWS #1,private room
24313434,Upper Westside luxury private bedroom 5W-3,PRIVATE ROOM,Upper Westside luxury private bedroom 5W-3,private room
24313500,Stunning spacious study private bedroom #4,Private room,Stunning spacious study private bedroom #4,private room
24313537,Cozy & quiet 2 bedroom apt in a great location!,entire home/apt,Cozy & quiet 2 bedroom apt in a great location!,entire home/apt
24313701,Fully renovated Studio.Beautiful  and comfortable.,Entire home/apt,Fully renovated Studio.Beautiful and comfortable.,entire home/apt
24323953,Stylish NYC Art Loft '3',Private room,Stylish NYC Art Loft '3',private room
24324891,2 Bedroom Modern-Contempo Bright Apartment,entire home/apt,2 Bedroom Modern-Contempo Bright Apartment,entire home/apt
24327546,Cozy & warm private studio apartment in Astoria,Entire home/apt,Cozy & warm private studio apartment in Astoria,entire home/apt
24327950,Pleasant Residence,Entire home/apt,Pleasant Residence,entire home/apt
24330532,Private Loft Apartment,Entire home/apt,Private Loft Apartment,entire home/apt
24332080,Huge Bright Bedroom in Brooklyn Townhouse,Private room,Huge Bright Bedroom in Brooklyn Townhouse,private room
24334422,"ROOM with a VIEW! 
LOCATION LOCATION!",Private room,"ROOM with a VIEW! 
LOCATION LOCATION!",private room
24335248,sweetheart studio,private room,sweetheart studio,private room
24336051,"UWS Gem by Lincoln Center, Julliard & Central Park",Entire home/apt,"UWS Gem by Lincoln Center, Julliard & Central Park",entire home/apt
24337254,COZY THREE BEDROOM APT NEAR JFK AIRPORT,Entire home/apt,COZY THREE BEDROOM APT NEAR JFK AIRPORT,entire home/apt
24339196,••Cozy Em’s place••,PRIVATE ROOM,••Cozy Em’s place••,private room
24347151,Good Vibes private room,Private room,Good Vibes private room,private room
24348078,Large and bright room 15 min away from Manhattan,Private room,Large and bright room 15 min away from Manhattan,private room
24348514,For All Classical Lover's 2,Private room,For All Classical Lover's 2,private room
24351450,"Eclectic 1BR in Brooklyn, Steps to nightlife!",Private room,"Eclectic 1BR in Brooklyn, Steps to nightlife!",private room
24351719,LES 2 BR Penthouse New Construction,Entire home/apt,LES 2 BR Penthouse New Construction,entire home/apt
24352862,Brooklyn Museum of Art 2 Bedroom Gem!,Entire home/apt,Brooklyn Museum of Art 2 Bedroom Gem!,entire home/apt
24352967,"Bed n Bath, 4 mins to 2,5,3,4 trains to Manhattan",Private room,"Bed n Bath, 4 mins to 2,5,3,4 trains to Manhattan",private room
24355153,Rockaway Beach Escape - Beach/City Views,Entire home/apt,Rockaway Beach Escape - Beach/City Views,entire home/apt
24356663,Modern Clean beautiful 15min to center of NYC,Entire home/apt,Modern Clean beautiful 15min to center of NYC,entire home/apt
24356861,COZY & BEAUTIFUL 1bdrm in Upper NYC,ENTIRE HOME/APT,COZY & BEAUTIFUL 1bdrm in Upper NYC,entire home/apt
24357412,Cozy 1bdr in the heart of Upper East Side,ENTIRE HOME/APT,Cozy 1bdr in the heart of Upper East Side,entire home/apt
24357562,Cozy Apartment- Lower East Side near F/M/J/Z  :),Private room,Cozy Apartment- Lower East Side near F/M/J/Z :),private room
24359329,Gorgeous Room in Wburg!,private room,Gorgeous Room in Wburg!,private room
24360039,Lovely Cozy Studio Upper East Side Manhattan,Entire home/apt,Lovely Cozy Studio Upper East Side Manhattan,entire home/apt
24366289,Art apartment,Entire home/apt,Art apartment,entire home/apt
24366897,Modern & Stylish 1 Bed Manhattan w/ Private Garden,Entire home/apt,Modern & Stylish 1 Bed Manhattan w/ Private Garden,entire home/apt
24367577,Clinton Hill Dream House,entire home/apt,Clinton Hill Dream House,entire home/apt
24369797,"2BR APARTMENT IN THE CITY, NEXT TO CENTRAL PARK!",Entire home/apt,"2BR APARTMENT IN THE CITY, NEXT TO CENTRAL PARK!",entire home/apt
